Table S2. (B) Primary screen extracted image features.,,,,,,,,,,,
feature,Analogous CellProfiler feature,description,Feature transformation,Used by interphase/mitotic cell support vector classifier,Used in interphase PHATE analysis,Used in mitotic PHATE analysis,Interphase heatmap display name,Mitotic heatmap display name,,,
nucleus_K_tubulin_dapi,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of tubulin on DAPI pixel intensity values within the segmented nucleus,,TRUE,,TRUE,,,,,
nucleus_K_gh2ax_dapi,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of gamma-H2AX on DAPI pixel intensity values within the segmented nucleus,,,,,,,,,
nucleus_K_phalloidin_dapi,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of phalloidin on DAPI pixel intensity values within the segmented nucleus,,TRUE,,TRUE,,,,,
nucleus_K_gh2ax_tubulin,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of gamma-H2AX on tubulin pixel intensity values within the segmented nucleus,,,,,,,,,
nucleus_K_phalloidin_tubulin,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of phalloidin on tubulin pixel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_K_phalloidin_gh2ax,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of phalloidin on gamma-H2AX pixel intensity values within the segmented nucleus,,,,,,,,,
cell_manders_tubulin_dapi,Correlation_Manders,"The Manders coefficient of tubulin intensity colocalized to DAPI intensity within the segmented cell, computed in part by using an Otsu threshold on DAPI intensity",,,TRUE,TRUE,,,,,
cell_manders_gh2ax_dapi,Correlation_Manders,"The Manders coefficient of gamma-H2AX intensity colocalized to DAPI intensity within the segmented cell, computed in part by using an Otsu threshold on DAPI intensity",,,TRUE,TRUE,,,,,
cell_manders_phalloidin_dapi,Correlation_Manders,"The Manders coefficient of phalloidin intensity colocalized to DAPI intensity within the segmented cell, computed in part by using an Otsu threshold on DAPI intensity",,TRUE,,TRUE,,,,,
cell_manders_gh2ax_tubulin,Correlation_Manders,"The Manders coefficient of gamma-H2AX intensity colocalized to tubulin intensity within the segmented cell, computed in part by using an Otsu threshold on tubulin intensity",,,,TRUE,,,,,
cell_manders_phalloidin_tubulin,Correlation_Manders,"The Manders coefficient of phalloidin intensity colocalized to tubulin intensity within the segmented cell, computed in part by using an Otsu threshold on tubulin intensity",,,,TRUE,,,,,
cell_manders_phalloidin_gh2ax,Correlation_Manders,"The Manders coefficient of phalloidin intensity colocalized to gamma-H2AX intensity within the segmented cell, computed in part by using an Otsu threshold on gamma-H2AX intensity",,TRUE,,TRUE,,,,,
nucleus_manders_tubulin_dapi,Correlation_Manders,"The Manders coefficient of tubulin intensity colocalized to DAPI intensity within the segmented nucleus, computed in part by using an Otsu threshold on DAPI intensity",,,,TRUE,,,,,
nucleus_manders_gh2ax_dapi,Correlation_Manders,"The Manders coefficient of gamma-H2AX intensity colocalized to DAPI intensity within the segmented nucleus, computed in part by using an Otsu threshold on DAPI intensity",,,TRUE,TRUE,,,,,
nucleus_manders_phalloidin_dapi,Correlation_Manders,"The Manders coefficient of phalloidin intensity colocalized to DAPI intensity within the segmented nucleus, computed in part by using an Otsu threshold on DAPI intensity",,,,TRUE,,,,,
nucleus_manders_gh2ax_tubulin,Correlation_Manders,"The Manders coefficient of gamma-H2AX intensity colocalized to tubulin intensity within the segmented nucleus, computed in part by using an Otsu threshold on tubulin intensity",,,,,,,,,
nucleus_manders_phalloidin_tubulin,Correlation_Manders,"The Manders coefficient of phalloidin intensity colocalized to tubulin intensity within the segmented nucleus, computed in part by using an Otsu threshold on tubulin intensity",,,,TRUE,,,,,
nucleus_manders_phalloidin_gh2ax,Correlation_Manders,"The Manders coefficient of phalloidin intensity colocalized to gamma-H2AX intensity within the segmented nucleus, computed in part by using an Otsu threshold on gamma-H2AX intensity",,TRUE,TRUE,TRUE,,,,,
cell_rwc_tubulin_dapi,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of tubulin intensity colocalized to DAPI intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on DAPI intensity is used as part of this calculation.",,,TRUE,,,,,,
cell_rwc_gh2ax_dapi,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of gamma-H2AX intensity colocalized to DAPI intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on DAPI intensity is used as part of this calculation.",,,,TRUE,,,,,
cell_rwc_phalloidin_dapi,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of phalloidin intensity colocalized to DAPI intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on DAPI intensity is used as part of this calculation.",,TRUE,TRUE,TRUE,,,,,
cell_rwc_gh2ax_tubulin,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of gamma-H2AX intensity colocalized to tubulin intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on tubulin intensity is used as part of this calculation.",,,,TRUE,,,,,
cell_rwc_phalloidin_tubulin,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of phalloidin intensity colocalized to tubulin intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on tubulin intensity is used as part of this calculation.",,,,TRUE,,,,,
cell_rwc_phalloidin_gh2ax,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of phalloidin intensity colocalized to gamma-H2AX intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on gamma-H2AX intensity is used as part of this calculation.",,TRUE,TRUE,TRUE,,,,,
nucleus_rwc_tubulin_dapi,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of tubulin intensity colocalized to DAPI intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on DAPI intensity is used as part of this calculation.",,,TRUE,TRUE,,,,,
nucleus_rwc_gh2ax_dapi,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of gamma-H2AX intensity colocalized to DAPI intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on DAPI intensity is used as part of this calculation.",,,TRUE,TRUE,,,,,
nucleus_rwc_phalloidin_dapi,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of phalloidin intensity colocalized to DAPI intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on DAPI intensity is used as part of this calculation.",,,,TRUE,,,,,
nucleus_rwc_gh2ax_tubulin,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of gamma-H2AX intensity colocalized to tubulin intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on tubulin intensity is used as part of this calculation.",,TRUE,TRUE,TRUE,,,,,
nucleus_rwc_phalloidin_tubulin,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of phalloidin intensity colocalized to tubulin intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on tubulin intensity is used as part of this calculation.",,,TRUE,TRUE,,,,,
nucleus_rwc_phalloidin_gh2ax,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of phalloidin intensity colocalized to gamma-H2AX intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on gamma-H2AX intensity is used as part of this calculation.",,TRUE,TRUE,TRUE,,,,,
cell_area,AreaShape_Area,The 2D surface area of the segmented cell,,,,TRUE,Cell area,Cell area,,,
cell_perimeter,AreaShape_Perimeter,The perimeter of the segmented cell,,,,TRUE,,,,,
cell_convex_area,,The 2D surface area of the convex hull of the segmented cell,,,,,,,,,
cell_form_factor,AreaShape_FormFactor,The ratio of the segmented cell's area to the area of a circle with the same perimeter as the cell; equivalent to the isoperimetric quotient.,,,TRUE,TRUE,,,,,
cell_solidity,AreaShape_Solidity,Ratio of the segmented cell's area to the area of the convex hull of the cell.,,,TRUE,TRUE,,,,,
cell_extent,AreaShape_Extent,The ratio of the segmented cell's area to the area of the corresponding bounding box,,,TRUE,TRUE,,,,,
cell_euler_number,AreaShape_EulerNumber,"The number of disconnected components making up the segmented cell, minus the number of holes within the components",,,,,,,,,
cell_eccentricity,AreaShape_Eccentricity,Eccentricity of the ellipse that has the same second-moments as the segmented cell. The eccentricity is the ratio of the focal distance of the ellipse (distance between focal points) over the major axis length.,,,TRUE,TRUE,Cell eccentricity,,,,
cell_major_axis,AreaShape_MajorAxisLength,The major axis length of the ellipse that has the same second-moments as the segmented cell,,,,TRUE,,,,,
cell_minor_axis,AreaShape_MinorAxisLength,The minor axis length of the ellipse that has the same second-moments as the segmented cell,,,,TRUE,,,,,
cell_orientation,AreaShape_Orientation,The angle between the horizontal axis and the major axis of the ellipse that has the same second-moments as the segmented cell,,,TRUE,TRUE,,,,,
cell_compactness,AreaShape_Compactness,"The mean squared distance of all pixels within the segmented cell to its centroid, normalized by the total cell area.",log(feature-1),,TRUE,,,,,,
cell_zernike_0_0,AreaShape_Zernike_0_0,"Zernike polynomial 0, 0 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_1_1,AreaShape_Zernike_1_1,"Zernike polynomial 1, 1 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_2_0,AreaShape_Zernike_2_0,"Zernike polynomial 2, 0 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_2_2,AreaShape_Zernike_2_2,"Zernike polynomial 2, 2 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_3_1,AreaShape_Zernike_3_1,"Zernike polynomial 3, 1 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_3_3,AreaShape_Zernike_3_3,"Zernike polynomial 3, 3 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_4_0,AreaShape_Zernike_4_0,"Zernike polynomial 4, 0 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_4_2,AreaShape_Zernike_4_2,"Zernike polynomial 4, 2 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_4_4,AreaShape_Zernike_4_4,"Zernike polynomial 4, 4 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_5_1,AreaShape_Zernike_5_1,"Zernike polynomial 5, 1 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_5_3,AreaShape_Zernike_5_3,"Zernike polynomial 5, 3 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_5_5,AreaShape_Zernike_5_5,"Zernike polynomial 5, 5 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_6_0,AreaShape_Zernike_6_0,"Zernike polynomial 6, 0 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_6_2,AreaShape_Zernike_6_2,"Zernike polynomial 6, 2 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_6_4,AreaShape_Zernike_6_4,"Zernike polynomial 6, 4 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_6_6,AreaShape_Zernike_6_6,"Zernike polynomial 6, 6 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_7_1,AreaShape_Zernike_7_1,"Zernike polynomial 7, 1 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_7_3,AreaShape_Zernike_7_3,"Zernike polynomial 7, 3 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_7_5,AreaShape_Zernike_7_5,"Zernike polynomial 7, 5 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_7_7,AreaShape_Zernike_7_7,"Zernike polynomial 7, 7 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_8_0,AreaShape_Zernike_8_0,"Zernike polynomial 8, 0 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_8_2,AreaShape_Zernike_8_2,"Zernike polynomial 8, 2 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_8_4,AreaShape_Zernike_8_4,"Zernike polynomial 8, 4 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_8_6,AreaShape_Zernike_8_6,"Zernike polynomial 8, 6 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_8_8,AreaShape_Zernike_8_8,"Zernike polynomial 8, 8 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_9_1,AreaShape_Zernike_9_1,"Zernike polynomial 9, 1 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
cell_zernike_9_3,AreaShape_Zernike_9_3,"Zernike polynomial 9, 3 coefficient for the Zernike transform of the segmented cell",,,TRUE,TRUE,,,,,
